@relation teste

@attribute edital {"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "EDITAL No 20/2015 - 1º SEMESTRE 2016 - CURSOS TÉCNICOS", "EDITAL Nº 30/2016 - 2º SEMESTRE 2016 - CURSOS SUPERIORES", "EDITAL Nº 29/2016 - 2º SEMESTRE 2016 - CURSOS TÉCNICOS"}
@attribute nomecurso {"Bacharelado em Ciência da Computação", "Bacharelado em Educação Física", "Técnico em Informática Integrado", "Bacharelado em Engenharia Agronômica", "Técnico em Agropecuária Integrado", "Técnico em Agropecuária Subsequente", "Licenciatura em Ciências Biológicas", "Técnico em Administração Subsequente", "Licenciatura em Educação Física", "Técnico em Enfermagem Subsequente", "Técnico em Informática Subsequente", "Técnico em Meio Ambiente Subsequente", "Técnico em Contabilidade Subsequente", "Técnico em Alimentos Integrado", "Técnico em Edificações PROEJA", "Técnico em Segurança do Trabalho Subsequente", "Técnico em Alimentos PROEJA", "Bacharelado em Medicina Veterinária", "Tecnólogo em Cafeicultura"}
@attribute sexo {"Masculino", "Feminino", "Outros"}
@attribute cidade {"GUAXUPE", "CABO VERDE", "POCOS DE CALDAS", "MONTE BELO", "MUZAMBINHO", "SACRAMENTO", "BOM SUCESSO", "CACONDE", "MOCOCA", "BOA ESPERANCA", "SAO SEBASTIAO DO PARAISO", "AREADO", "SANTA RITA DE CALDAS", "MONTE SANTO DE MINAS", "GUARANESIA", "CRISTAIS", "BOM JESUS DA PENHA", "CARMO DO RIO CLARO", "NOVA RESENDE", "TAPIRATIBA", "SAO PEDRO DA UNIAO", "CONCEICAO DA APARECIDA", "CAMBUI", "NAVIRAI", "SANTO ANTONIO DA ALEGRIA", "BOTELHOS", "ILICINEA", "JURUAIA", "LAGOA DA PRATA", "CALDAS", "DIVISA NOVA", "CAMPO BELO", "TRES PONTAS", "TRES CORACOES", "POUSO ALEGRE", "ALPINOPOLIS", "ALFENAS", "SAO JOAO DA BOA VISTA", "VARGINHA", "PIUMHI", "TAPIRA", "ALTINOPOLIS", "PRATAPOLIS", "ESTIVA", "CAMPESTRE", "JACUI", "CAPITOLIO", "CONGONHAL", "RIBEIRAO PRETO", "ELOI MENDES", "ALTEROSA", "MACHADO", "CAMPOS GERAIS", "JESUITAS", "ITAMOGI", "TAMBAU", "BARUERI", "SAO JOSE DO RIO PARDO", "PARAISOPOLIS", "CASA BRANCA", "SANTANA DA VARGEM", "ITIRAPINA", "ITAU DE MINAS", "CAMPO DO MEIO", "OLIVEIRA", "CAMPINAS", "VARGEM ALEGRE", "ANDRADAS", "SERRANA", "SAO JOSE DA BARRA", "VARGEM GRANDE DO SUL", "AGUAI", "ESPIRITO SANTO DO DOURADO", "SAO JOAO EVANGELISTA", "RIO DE JANEIRO", "COQUEIRAL", "BANDEIRA DO SUL", "PASSOS", "PIRACICABA", "POCO FUNDO", "LAMBARI", "GUAPE", "MOGI DAS CRUZES", "PIMENTA", "CONCEICAO DAS PEDRAS", "AGUAS DA PRATA", "SANTA CRUZ DAS PALMEIRAS", "SAO TOMAS DE AQUINO", "CAJURU", "CARVALHOPOLIS", "INCONFIDENTES", "GOVERNADOR VALADARES", "IPUIUNA", "ABADIA DOS DOURADOS", "FRANCA", "FORTALEZA DE MINAS", "ITAPIRA", "SAO SEBASTIAO DA GRAMA", "ESPIRITO SANTO DO PINHAL", "SAO THOME DAS LETRAS", "PRESIDENTE KUBITSCHEK", "DIVISOPOLIS", "IGARAPE", "SAO PAULO", "BARRA BONITA", "SANTO ANTONIO DO AMPARO", "BOCAIUVA", "BARBACENA", "AIMORES", "PERDOES", "CORREGO DO BOM JESUS", "ROMELANDIA", "JABOATAO DOS GUARARAPES", "PATROCINIO PAULISTA", "JARDINOPOLIS", "SANTA RITA DO SAPUCAI", "SAO BENTO ABADE", "MONTE ALEGRE DO SUL", "IBIRACI", "LAVRAS", "CASSIA", "MOGI GUACU", "MARCELANDIA", "CAMANDUCAIA", "TIRADENTES", "BORDA DA MATA", "JACUTINGA", "DIVINOPOLIS", "ANTONIO DIAS", "CERQUEIRA CESAR", "ITATIBA", "HORTOLANDIA", "CAMBORIU", "PIRASSUNUNGA", "BATATAIS", "CANDEIAS", "VAZANTE", "CAMPANHA", "SALTO", "SAO GONCALO DO SAPUCAI", "PADRE BERNARDO", "ITUTINGA", "SAO LOURENCO", "ARAXA", "SAO JOSE DOS CAMPOS", "CAMPOS ALTOS", "CORDEIROPOLIS", "CONSOLACAO", "CONCEICAO DOS OUROS", "SILVIANOPOLIS", "SAO GONCALO", "BAMBUI", "NATERCIA", "SERRANIA", "VINHEDO", "CAPIVARI", "UBERABA", "MONSENHOR PAULO", "JUIZ DE FORA", "PIRANGUINHO", "MORRO AGUDO", "ITANHANDU", "GOIANIA", "CARMO DO PARANAIBA", "GUANHAES", "PECANHA", "HELIODORA", "OUTROS", "SANTA ROSA DA SERRA", "NEPOMUCENO", "LIMEIRA", "BUENO BRANDAO", "NITEROI", "COSMOPOLIS", "TAUBATE", "TURVOLANDIA", "CAMBUQUIRA", "ITOBI", "MAIRINQUE", "PARAOPEBA", "NAZARENO", "ITAJUBA", "CARMO DE MINAS", "CONCEICAO DO RIO VERDE", "PARAGUACU", "JESUANIA", "MONTE MOR", "CACHOEIRA DE MINAS", "PASSA TEMPO", "OURO FINO", "BAEPENDI", "IBITURUNA", "IBIUNA", "MONTE SIAO", "POSSE", "CAREACU", "FORMIGA", "SALINAS", "NOVA ERA", "AMERICANA", "CUIABA", "SAO JOAO DEL REI", "SAO JOAO BATISTA DO GLORIA", "FAMA", "JAGUARIUNA", "TOLEDO", "DORESOPOLIS", "OLIMPIO NORONHA", "DIVINOLANDIA", "OSASCO", "RESENDE", "PORANGATU", "CAMOCIM", "PATOS DE MINAS", "ARCOS", "CORDISLANDIA", "MEDEIROS", "SAO JOAQUIM DA BARRA", "CRISTINA", "CARVALHOS", "CONTAGEM", "SAO ROQUE DE MINAS", "PIEDADE", "ARCEBURGO", "JUATUBA", "ITAMONTE", "SAPUCAI-MIRIM", "MONTES CLAROS", "MUNHOZ", "ITAMARANDIBA", "BELO HORIZONTE", "CONCHAL", "PARAUAPEBAS", "SAO JOSE DO BARREIRO", "CARMO DA CACHOEIRA", "SAO CARLOS", "PAINS", "CRUZILIA", "INDAIATUBA", "SOROCABA", "ITAPEVA", "PEDRALVA", "NIQUELANDIA", "SOLEDADE DE MINAS", "BOM REPOUSO", "NOVO HORIZONTE", "SAO CAETANO DO SUL", "CAPIM BRANCO", "RESENDE COSTA", "SANTA LUZIA", "DAVINOPOLIS", "ITAPECERICA", "SAO JOAO DA MATA", "JACAREI", "SOCORRO", "ARTUR NOGUEIRA", "SAO GOTARDO", "IRACEMAPOLIS", "MINDURI", "VALENCA", "DIANOPOLIS", "UBERLANDIA", "PRADOS", "ITAQUAQUECETUBA", "RIO DAS OSTRAS", "MARIA DA FE", "ITUMIRIM", "PALMAS", "CARRANCAS", "PLANURA", "CAPINOPOLIS"}
@attribute local_origem {"Zona Urbana", "Zona Rural"}
@attribute tipo_instituicao {"Apenas em escola pública", "A maior parte em escola pública", "Apenas em escola particular", "A maior parte em escola particular"}
@attribute renda {"R$ 1018.00 a 1356.00 ", "R$ 679.00 a 1017.00 ", "R$ 1367.00 a 1695.00 ", "R$ 1696.00 a 2034.00 ", "R$ 340.00 a 678.00 ", "Maior que R$ 2034.00 ", "Menor que R$ 339.00 "}
@attribute pessoas_familia {"2", "3", "1", "4", "5"}
@attribute familia_residencia {"Alugada", "Outros", "Própria ", "Financiada "}
@attribute cursou_fundamental {"Sim", "Parcialmente", "Não"}
@attribute escolheu_curso {"Realização pessoal ", "Contribuição para a sociedade ", "Possibilidades no mercado de trabalho ", "Influência da família e/ou amigos ", "Resultados de testes vocacionais", "Prestígio social da profissão ", "Outro motivo ", "", "Baixa concorrência no vestibular "}
@attribute escolheu_if {"Realização pessoal ", "Possibilidades no mercado de trabalho ", "Outro motivo", "Influência da família e/ou amigos ", "Baixa concorrência no vestibular ", "Resultados de testes vocacionais", "Contribuição para a sociedade", "Prestígio social da profissão ", "O curso só existe neste Instituto "}
@attribute vestibular_if {"Uma vez ", "Nenhuma vez", "Duas vezes ", "Quatro vezes ou mais ", "Três vezes "}
@attribute apoio_social {"Transporte ", "Internato (Moradia + Alimentação) ", "Não ", "Moradia ", "Material didático ", "Outros", "Alimentação"}
@attribute pretende_residir {"Não morarei na mesma cidade mas viajarei todos os dias ", "Com parentes", "Internato", "Com amigos (compartilhando despesas) ", "Sozinho(a) ", "Somente com a mãe ", "Com os pais ", "Outra forma", "Com esposo(a) e/ou filho ", "Somente com o pai "}
@attribute apos_matricula {"Ônibus/van ", "Nenhum (a pé) ", "Próprio (carro ou moto)", "Outro", "Carona ", "Bicicleta "}
@attribute atividades_profissao {"Sim. alguma(s) atividades ", "Sim. plenamente ", "Não "}
@attribute antes_entrar {"Sim", "Não"}
@attribute menor {"Sou maior", "Mãe/Pai ", "Tutor ", "Avô(ó) "}
@attribute pai {"Ensino Fundamental Completo ", "Ensino Fundamental Incompleto ", "Analfabeto", "Pós-graduação ", "Ensino Médio Incompleto ", "Ensino Superior Completo ", "Ensino Superior incompleto ", "Ensino Médio Completo ", "Não se aplica"}
@attribute mae {"Ensino Fundamental Completo ", "Ensino Fundamental Incompleto ", "Ensino Médio Completo ", "Pós-graduação ", "Ensino Médio Incompleto ", "Ensino Superior Completo ", "Analfabeto ", "Ensino Superior incompleto "}
@attribute atividade_remunerada {"Não ", "Sim. 40 horas semanais ", "Sim. Trabalho eventual ", "Sim. Mais de 40 horas semanais ", "Sim. Até 20 horas semanais ", "Sim. De 20 a 30 horas semanais "}
@attribute sua_participacao {"Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Trabalho e contribuo para o sustento a família ", "Trabalho e sou responsável apenas pelo meu próprio sustento ", "Trabalho mas recebo ajuda financeira da família ou de outras pessoas ", "Trabalho e sou o principal responsável pelo sustento da família "}
@attribute exercer_atividade {"Não exerço atividade remunerada ", "Após 18 anos ", "Entre 16 e 18 anos ", "Entre 14 e 16 anos ", "Antes de 14 anos "}
@attribute sustento {"Seu pai ", "Sua mãe ", "Seu pai e mãe ", "Você ", "Seu marido ", "Um parente ", "Outros ", "Sua mulher "}
@attribute automovel {"Não", "Sim"}
@attribute le {"1 ou 2 livros ", "Mais de 5 livros ", "3 a 4 livros ", "Nenhum livro "}
@attribute leitura {"Outro ", "Técnico-científico ", "Ficção ", "Nenhum", "Religioso ", "Romance "}
@attribute micro {"Tem em casa e usa regularmente ", "Lan House ", "Usa no trabalho ", "Usa de parentes ou amigos ", "Tem em casa e não usa ", "Nunca usou "}
@attribute internet {"Diariamente ", "Semanalmente (algumas vezes) ", "Somente nos Finais de semana ", "Não utiliza ", "Mensalmente ", "Quinzenalmente "}
@attribute seletivo {"Ótimo ", "Regular ", "Ruim "}
@attribute especiais {"Nenhuma ", "", "Déficit de Atenção ", "Hiperatividade ", "Dificuldade de aprendizagem ", "Outra opção ", "Gagueira ", "Dislexia "}
@attribute etnia {"Pardo ", "Branca", "Preta", "Amarela", "Não Declarada", "Indígena"}
@attribute sabendo {"Site do IFSULDEMINAS", "Família", "Jornal impresso", "TV", "Amigo", "Outros sites", "Site de notícias", "Visita de servidores do IFSULDEMINAS em sua escola", "Facebook", "Rádio", "Cartaz", "Outdoor", "Panfleto", "Revista", "Twitter"}


	@data
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Ciência da Computação", "Masculino", "AREADO", "Zona Urbana", "Apenas em escola pública", "R$ 1367.00 a 1695.00 ", "3", "Própria ", "Sim", "Prestígio social da profissão ", "Possibilidades no mercado de trabalho ", "Uma vez ", "Transporte ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Pós-graduação ", "Sim. Até 20 horas semanais ", "Trabalho e sou responsável apenas pelo meu próprio sustento ", "Entre 16 e 18 anos ", "Seu pai e mãe ", "Sim", "1 ou 2 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Engenharia Agronômica", "Feminino", "MONTE BELO", "Zona Rural", "Apenas em escola pública", "R$ 340.00 a 678.00 ", "2", "Própria ", "Sim", "Realização pessoal ", "Realização pessoal ", "Duas vezes ", "Moradia ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Sim. Trabalho eventual ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Entre 14 e 16 anos ", "Seu pai e mãe ", "Sim", "Mais de 5 livros ", "Romance ", "Lan House ", "Diariamente ", "Ótimo ", "", "Pardo ", "Site do IFSULDEMINAS"
"EDITAL No 20/2015 - 1º SEMESTRE 2016 - CURSOS TÉCNICOS", "Técnico em Agropecuária Integrado", "Feminino", "SANTA RITA DE CALDAS", "Zona Urbana", "Apenas em escola pública", "R$ 1696.00 a 2034.00 ", "2", "Própria ", "Sim", "Realização pessoal ", "Realização pessoal ", "Nenhuma vez", "Internato (Moradia + Alimentação) ", "Internato", "Próprio (carro ou moto)", "Sim. plenamente ", "Sim", "Mãe/Pai ", "Ensino Superior Completo ", "Ensino Superior Completo ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu pai e mãe ", "Sim", "Mais de 5 livros ", "Romance ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Engenharia Agronômica", "Masculino", "MOCOCA", "Zona Rural", "Apenas em escola particular", "R$ 1696.00 a 2034.00 ", "3", "Própria ", "Não", "Realização pessoal ", "Influência da família e/ou amigos ", "Uma vez ", "Internato (Moradia + Alimentação) ", "Sozinho(a) ", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Mãe/Pai ", "Ensino Superior incompleto ", "Ensino Superior Completo ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu pai e mãe ", "Sim", "1 ou 2 livros ", "Ficção ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Licenciatura em Ciências Biológicas", "Masculino", "MONTE SANTO DE MINAS", "Zona Urbana", "Apenas em escola pública", "Menor que R$ 339.00 ", "1", "Própria ", "Sim", "Realização pessoal ", "Realização pessoal ", "Nenhuma vez", "Transporte ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Outro", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Sua mãe ", "Não", "Mais de 5 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Educação Física", "Masculino", "GUARANESIA", "Zona Urbana", "Apenas em escola pública", "Maior que R$ 2034.00 ", "3", "Própria ", "Sim", "Realização pessoal ", "Realização pessoal ", "Nenhuma vez", "Não ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Sou maior", "Ensino Médio Completo ", "Ensino Médio Incompleto ", "Sim. Mais de 40 horas semanais ", "Trabalho e sou responsável apenas pelo meu próprio sustento ", "Entre 14 e 16 anos ", "Seu pai e mãe ", "Sim", "1 ou 2 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 20/2015 - 1º SEMESTRE 2016 - CURSOS TÉCNICOS", "Técnico em Administração Subsequente", "Masculino", "GUAXUPE", "Zona Urbana", "Apenas em escola pública", "Maior que R$ 2034.00 ", "2", "Financiada ", "Sim", "Possibilidades no mercado de trabalho ", "Possibilidades no mercado de trabalho ", "Nenhuma vez", "Não ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Não ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Sim. Mais de 40 horas semanais ", "Trabalho e sou responsável apenas pelo meu próprio sustento ", "Entre 16 e 18 anos ", "Seu pai e mãe ", "Sim", "Nenhum livro ", "Nenhum", "Usa no trabalho ", "Diariamente ", "Ótimo ", "", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Engenharia Agronômica", "Masculino", "MUZAMBINHO", "Zona Urbana", "Apenas em escola pública", "R$ 1018.00 a 1356.00 ", "2", "Outros", "Sim", "Prestígio social da profissão ", "Possibilidades no mercado de trabalho ", "Duas vezes ", "Moradia ", "Com parentes", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Analfabeto", "Analfabeto ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu pai e mãe ", "Sim", "1 ou 2 livros ", "Ficção ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Preta", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Educação Física", "Feminino", "AREADO", "Zona Urbana", "Apenas em escola pública", "R$ 340.00 a 678.00 ", "2", "Própria ", "Sim", "Realização pessoal ", "Outro motivo", "Uma vez ", "Material didático ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Mãe/Pai ", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Sim. 40 horas semanais ", "Trabalho e contribuo para o sustento a família ", "Entre 14 e 16 anos ", "Seu pai e mãe ", "Sim", "1 ou 2 livros ", "Religioso ", "Tem em casa e usa regularmente ", "Semanalmente (algumas vezes) ", "Ótimo ", "", "Preta", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Licenciatura em Educação Física", "Feminino", "GUAXUPE", "Zona Urbana", "Apenas em escola pública", "R$ 1367.00 a 1695.00 ", "2", "Outros", "Sim", "Realização pessoal ", "Realização pessoal ", "Nenhuma vez", "Transporte ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Superior incompleto ", "Ensino Médio Completo ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu pai ", "Sim", "Mais de 5 livros ", "Romance ", "Tem em casa e usa regularmente ", "Diariamente ", "Regular ", "", "Branca", "TV"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Licenciatura em Ciências Biológicas", "Masculino", "MUZAMBINHO", "Zona Rural", "Apenas em escola pública", "R$ 340.00 a 678.00 ", "1", "Própria ", "Sim", "Possibilidades no mercado de trabalho ", "Contribuição para a sociedade", "Quatro vezes ou mais ", "Outros", "Não morarei na mesma cidade mas viajarei todos os dias ", "Outro", "Sim. alguma(s) atividades ", "Não", "Sou maior", "Analfabeto", "Ensino Médio Completo ", "Sim. Trabalho eventual ", "Trabalho mas recebo ajuda financeira da família ou de outras pessoas ", "Antes de 14 anos ", "Você ", "Não", "Mais de 5 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Engenharia Agronômica", "Feminino", "CRISTAIS", "Zona Rural", "Apenas em escola pública", "R$ 1696.00 a 2034.00 ", "2", "Própria ", "Sim", "Possibilidades no mercado de trabalho ", "Possibilidades no mercado de trabalho ", "Nenhuma vez", "Internato (Moradia + Alimentação) ", "Com amigos (compartilhando despesas) ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Não ", "Trabalho mas recebo ajuda financeira da família ou de outras pessoas ", "Não exerço atividade remunerada ", "Seu pai e mãe ", "Sim", "3 a 4 livros ", "Técnico-científico ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Engenharia Agronômica", "Feminino", "AREADO", "Zona Urbana", "Apenas em escola pública", "R$ 1018.00 a 1356.00 ", "2", "Própria ", "Sim", "Realização pessoal ", "Possibilidades no mercado de trabalho ", "Uma vez ", "Não ", "Com amigos (compartilhando despesas) ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu pai e mãe ", "Sim", "Mais de 5 livros ", "Romance ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "", "Preta", "Amigo"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Engenharia Agronômica", "Masculino", "AREADO", "Zona Rural", "Apenas em escola pública", "R$ 679.00 a 1017.00 ", "3", "Própria ", "Sim", "Realização pessoal ", "Realização pessoal ", "Três vezes ", "Internato (Moradia + Alimentação) ", "Internato", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Sim. Mais de 40 horas semanais ", "Trabalho mas recebo ajuda financeira da família ou de outras pessoas ", "Após 18 anos ", "Seu pai e mãe ", "Sim", "1 ou 2 livros ", "Técnico-científico ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 20/2015 - 1º SEMESTRE 2016 - CURSOS TÉCNICOS", "Técnico em Agropecuária Integrado", "Masculino", "BOM JESUS DA PENHA", "Zona Urbana", "Apenas em escola pública", "R$ 679.00 a 1017.00 ", "1", "Alugada", "Parcialmente", "Possibilidades no mercado de trabalho ", "Possibilidades no mercado de trabalho ", "Uma vez ", "Internato (Moradia + Alimentação) ", "Internato", "Outro", "Sim. alguma(s) atividades ", "Sim", "Mãe/Pai ", "Ensino Médio Completo ", "Ensino Fundamental Completo ", "Sim. De 20 a 30 horas semanais ", "Trabalho e sou responsável apenas pelo meu próprio sustento ", "Entre 14 e 16 anos ", "Sua mãe ", "Não", "1 ou 2 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Licenciatura em Educação Física", "Masculino", "AREADO", "Zona Urbana", "Apenas em escola pública", "R$ 1696.00 a 2034.00 ", "2", "Própria ", "Sim", "Realização pessoal ", "Realização pessoal ", "Uma vez ", "Não ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Médio Completo ", "Ensino Médio Completo ", "Sim. 40 horas semanais ", "Trabalho e contribuo para o sustento a família ", "Entre 16 e 18 anos ", "Seu pai ", "Sim", "1 ou 2 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "", "Pardo ", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Educação Física", "Feminino", "CARMO DO RIO CLARO", "Zona Urbana", "Apenas em escola pública", "R$ 1018.00 a 1356.00 ", "1", "Própria ", "Sim", "Possibilidades no mercado de trabalho ", "Possibilidades no mercado de trabalho ", "Nenhuma vez", "Material didático ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Fundamental Incompleto ", "Sim. Mais de 40 horas semanais ", "Trabalho mas recebo ajuda financeira da família ou de outras pessoas ", "Entre 14 e 16 anos ", "Você ", "Sim", "3 a 4 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Preta", "Amigo"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Licenciatura em Educação Física", "Feminino", "GUAXUPE", "Zona Urbana", "Apenas em escola pública", "R$ 679.00 a 1017.00 ", "3", "Alugada", "Sim", "Realização pessoal ", "Realização pessoal ", "Nenhuma vez", "Transporte ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. plenamente ", "Sim", "Sou maior", "Ensino Fundamental Incompleto ", "Ensino Médio Completo ", "Não ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu marido ", "Sim", "1 ou 2 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Pardo ", "Site do IFSULDEMINAS"
"EDITAL No 21/2015 - 1º SEMESTRE 2016 - CURSOS SUPERIORES", "Bacharelado em Educação Física", "Masculino", "GUAXUPE", "Zona Urbana", "Apenas em escola pública", "R$ 679.00 a 1017.00 ", "3", "Própria ", "Parcialmente", "Possibilidades no mercado de trabalho ", "Outro motivo", "Nenhuma vez", "Transporte ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Mãe/Pai ", "Ensino Médio Completo ", "Ensino Fundamental Incompleto ", "Não ", "Trabalho e contribuo para o sustento a família ", "Entre 16 e 18 anos ", "Seu pai ", "Sim", "1 ou 2 livros ", "Outro ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "Nenhuma ", "Branca", "Família"
"EDITAL No 20/2015 - 1º SEMESTRE 2016 - CURSOS TÉCNICOS", "Técnico em Enfermagem Subsequente", "Masculino", "NOVA RESENDE", "Zona Rural", "Apenas em escola pública", "R$ 340.00 a 678.00 ", "2", "Própria ", "Sim", "Realização pessoal ", "Influência da família e/ou amigos ", "Nenhuma vez", "Transporte ", "Não morarei na mesma cidade mas viajarei todos os dias ", "Ônibus/van ", "Sim. alguma(s) atividades ", "Sim", "Mãe/Pai ", "Ensino Fundamental Completo ", "Ensino Fundamental Completo ", "Sim. Trabalho eventual ", "Não trabalho. Sou sustentado pela família ou por outras pessoas ", "Não exerço atividade remunerada ", "Seu pai e mãe ", "Sim", "Mais de 5 livros ", "Ficção ", "Tem em casa e usa regularmente ", "Diariamente ", "Ótimo ", "", "Branca", "Site do IFSULDEMINAS"
